date,account,time,vendor,price
2018-04-12,Dining Cash,11:48:00,Sweet Green,-10.95
2018-04-12,Dining Cash,15:19:00,Gallery Market,-2.79
2018-04-13,Dining Cash,12:44:00,Wiseguy Pizza,-4.39
2018-04-13,Dining Cash,18:54:00,Potbelly Sandwich Works - GW,-9.13
2018-04-15,Dining Cash,22:59:00,Guthridge Hall Washer A3,-1.75
2018-04-15,Dining Cash,23:31:00,Guthridge Hall Dryer B6,-1.75
2018-04-20,Dining Cash,15:20:00,Guthridge Hall Dryer B4,-1.75
2018-04-20,Dining Cash,15:21:00,Guthridge Hall Dryer B2,-1.75
2018-04-20,Dining Cash,14:37:00,Guthridge Hall Washer A6,-1.75
2018-04-20,Dining Cash,14:38:00,Guthridge Hall Washer A7,-1.75
2018-04-21,Dining Cash,18:42:00,Wiseguy Pizza,-4.39
2018-04-22,Dining Cash,12:09:00,Whole Foods,-8.8
2018-04-22,Dining Cash,12:26:00,Whole Foods,-1.49
2018-04-22,Dining Cash,17:37:00,Whole Foods,-2.49
2018-04-22,Dining Cash,20:15:00,Whole Foods,-4.17
2018-04-25,Dining Cash,12:11:00,Sodexo GW Hospital,-4.13
2018-04-29,Dining Cash,11:19:00,Guthridge Hall Washer A3,-1.75
2018-04-29,Dining Cash,11:52:00,Guthridge Hall Dryer B8,-1.75
2018-05-03,Dining Cash,19:48:00,Whole Foods,-4.17
2018-05-05,Dining Cash,23:26:00,Guthridge Hall Washer A3,-1.75
2018-05-06,Dining Cash,00:03:00,Guthridge Hall Dryer B4,-1.75
